OrganizationId,Program,CertificationProgram,OrganizationName,StreetAddress,City,State,PostalCode,plus4,CertificationDecision,EffectiveDate
7538,DSC     ,Advanced Comprehensive Stroke Center    ,Ascension Borgess Hospital,1521 Gull Road,Kalamazoo,MI,49048,1640,Certification                           ,12/30/2021
7510,DSC     ,Advanced Comprehensive Stroke Center    ,McLaren Flint,401 South Ballenger Highway,Flint,MI,48532,,Certification                           ,03/02/2023
7539,DSC     ,Advanced Comprehensive Stroke Center    ,Bronson Methodist Hospital,601 John Street,Kalamazoo,MI,49007,,Certification                           ,04/14/2022
7498,DSC     ,Advanced Comprehensive Stroke Center    ,Ascension St. John Hospital,22101 Moross Road,Detroit,MI,48236,2172,Certification                           ,04/28/2022
7540,DSC     ,Advanced Comprehensive Stroke Center    ,Sparrow Health System,1215 East Michigan Avenue,Lansing,MI,48912,,Certification                           ,10/07/2021
7485,DSC     ,Advanced Comprehensive Stroke Center    ,Henry Ford Health System,2799 West Grand Boulevard,Detroit,MI,48202,,Certification                           ,08/11/2022
579574,DSC     ,Advanced Comprehensive Stroke Center    ,McLaren Macomb,1000 Harrington St,Mount Clemens,MI,48043,2920,Certification                           ,07/21/2022
7580,DSC     ,Advanced Comprehensive Stroke Center    ,William Beaumont Hospital,3601 West Thirteen Mile Road,Royal Oak,MI,48073,6769,Certification                           ,09/30/2021
277668,DSC     ,Advanced Primary Stroke Center          ,Spectrum Health Hospitals,"100 Michigan Street, NE",Grand Rapids,MI,49503,,Certification                           ,03/12/2022
7494,DSC     ,Advanced Primary Stroke Center          ,Ascension Providence Hospital,16001 West Nine Mile Road,Southfield,MI,48075,4854,Certification                           ,03/09/2023
7606,DSC     ,Advanced Primary Stroke Center          ,Henry Ford Wyandotte Hospital,2333 Biddle Avenue,Wyandotte,MI,48192,,Certification                           ,01/11/2023
461762,DSC     ,Advanced Primary Stroke Center          ,William Beaumont Hospital,468 Cadieux,Grosse Pointe,MI,48230,,Certification                           ,11/12/2022
7526,DSC     ,Advanced Primary Stroke Center          ,Pennock Hospital,1009 West Green Street,Hastings,MI,49058,,Certification                           ,08/16/2022
7536,DSC     ,Advanced Primary Stroke Center          ,"W.A. Foote Memorial Hospital, Inc.",205 N. East Ave,Jackson,MI,49201,,Certification                           ,08/24/2022
583671,DSC     ,Advanced Primary Stroke Center          ,McLaren Greater Lansing,2900 Collins Road,Lansing,MI,48910,,Certification                           ,12/03/2021
7542,DSC     ,Advanced Primary Stroke Center          ,McLaren Lapeer Region,1375 North Main Street,Lapeer,MI,48446,,Certification                           ,03/07/2023
7546,DSC     ,Advanced Primary Stroke Center          ,Trinity Health Livonia,36475 Five Mile Road,Livonia,MI,48154,,Certification                           ,09/22/2022
7547,DSC     ,Advanced Primary Stroke Center          ,Memorial Medical Center of West Michigan,One Atkinson Drive,Ludington,MI,49431,,Certification                           ,03/13/2023
7557,DSC     ,Advanced Primary Stroke Center          ,Mercy Memorial Hospital Corporation,718 North Macomb Street,Monroe,MI,48162,,Certification                           ,04/13/2022
7571,DSC     ,Advanced Primary Stroke Center          ,McLaren Northern Michigan,416 Connable Avenue,Petoskey,MI,49770,2297,Certification                           ,04/18/2023
7577,DSC     ,Advanced Primary Stroke Center          ,McLaren Port Huron,1221 Pine Grove Avenue,Port Huron,MI,48060,,Certification                           ,07/24/2021
7579,DSC     ,Advanced Primary Stroke Center          ,Ascension Providence Rochester Hospital,1101 West University Drive,Rochester,MI,48307,1831,Certification                           ,11/13/2021
7587,DSC     ,Advanced Primary Stroke Center          ,"Lakeland Hospitals Niles and St.Joseph, Inc.",1234 Napier Avenue,Saint Joseph,MI,49085,,Certification                           ,07/28/2022
7598,DSC     ,Advanced Primary Stroke Center          ,Munson Medical Center,1105 Sixth Street,Traverse City,MI,49684,,Certification                           ,05/15/2021
7599,DSC     ,Advanced Primary Stroke Center          ,"Oakwood Healthcare, Inc.",5450 Fort Street,Trenton,MI,48183,,Certification                           ,09/09/2021
7610,DSC     ,Advanced Primary Stroke Center          ,William Beaumont Hospital,44201 Dequindre Road,Troy,MI,48085,,Certification                           ,09/20/2022
7481,DSC     ,Advanced Primary Stroke Center          ,Ascension Macomb-Oakland Hospital,11800 East Twelve Mile Road,Warren,MI,48093,,Certification                           ,10/23/2021
7609,DSC     ,Advanced Primary Stroke Center          ,Zeeland Community Hospital,8333 Felch Street,Zeeland,MI,49464,,Certification                           ,09/28/2021
7462,DSC     ,Advanced Primary Stroke Center          ,McLaren Bay Region,1900 Columbus Avenue,Bay City,MI,48708,,Certification                           ,07/07/2022
7465,DSC     ,Advanced Primary Stroke Center          ,Mecosta County Medical Center,605 Oak Street,Big Rapids,MI,49307,,Certification                           ,05/17/2022
7471,DSC     ,Advanced Primary Stroke Center          ,"Saint Joseph Mercy Chelsea, Inc.",775 South Main Street,Chelsea,MI,48118,,Certification                           ,03/15/2023
7559,DSC     ,Advanced Primary Stroke Center          ,Henry Ford Macomb Hospital,15855 Nineteen Mile Road,Clinton Township,MI,48038,,Certification                           ,12/01/2021
5290,DSC     ,Advanced Primary Stroke Center          ,Huron Valley - Sinai Hospital,1 William Carls Drive,Commerce Township,MI,48382,,Certification                           ,07/17/2021
7475,DSC     ,Advanced Primary Stroke Center          ,"Oakwood Healthcare, Inc.",18101 Oakwood Boulevard,Dearborn,MI,48124,,Certification                           ,03/04/2023
7483,DSC     ,Advanced Primary Stroke Center          ,VHS Sinai-Grace Hospital,6071 W Outer Dr,Detroit,MI,48235,,Certification                           ,03/11/2023
7484,DSC     ,Advanced Primary Stroke Center          ,Harper University Hospital,3990 John R Street,Detroit,MI,48201,,Certification                           ,09/24/2021
572116,DSC     ,Advanced Primary Stroke Center          ,Bostford General Hospital,28050 Grand River Ave,Farmington Hills,MI,48336,,Certification                           ,01/22/2022
7509,DSC     ,Advanced Primary Stroke Center          ,Hurley Medical Center,One Hurley Plaza,Flint,MI,48503,,Certification                           ,09/21/2022
159137,DSC     ,Advanced Primary Stroke Center          ,Ascension Genesys Hospital,One Genesys Parkway,Grand Blanc,MI,48439,8066,Certification                           ,04/29/2023
400299,DSC     ,Advanced Primary Stroke Center          ,Spectrum Health United and Kelsey Hospitals,615 South Bower Street,Greenville,MI,48838,,Certification                           ,10/10/2022
7575,DSC     ,Advanced Thrombectomy Capable Stroke Ctr,Trinity Health-Michigan,44405 Woodward Avenue,Pontiac,MI,48341,2985,Certification                           ,07/14/2022
7455,DSC     ,Advanced Thrombectomy Capable Stroke Ctr,Trinity Health Saint Joseph Mercy Ann Arbor,5301 E. Huron River Drive,Ann Arbor,MI,48106,,Certification                           ,02/19/2022
476530,DSC     ,Advanced Thrombectomy Capable Stroke Ctr,Henry Ford Health West Bloomfield Hospital,6777 West Maple Road,West Bloomfield,MI,48322,,Certification                           ,09/04/2021
7495,DSC     ,Advanced Thrombectomy Capable Stroke Ctr,Detroit Receiving Hospital and University Health Center,4201 St. Antoine,Detroit,MI,48201,,Certification                           ,06/20/2022
